,Danceability,Energy,Loudness,Speechiness,acousticness,instrumentalness,liveness,valence,tempo,ID
150,0.536,0.421,-11.907,0.0344,0.136,0.000112,0.102,0.534,138.013,7IcfEY0IyV4fdALbwJCw3v
151,0.44,0.892,-3.099,0.0379,0.11,0.0,0.118,0.586,163.95,1ccwCCS7YSclzYibpK0DS4
152,0.759,0.548,-6.049,0.029,0.0392,0.0,0.0828,0.749,116.967,6v3KW9xbzN5yKLt9YKDYA2
153,0.557,0.681,-6.75,0.104,0.513,0.000449,0.332,0.376,156.022,7adzBs69Rjtj6194UZRWfm
154,0.629,0.598,-6.654,0.0304,0.454,2.82e-05,0.204,0.442,103.979,1wl5vs3SCMPpHTIR8IW8nJ
155,0.764,0.32,-7.209,0.0546,0.837,0.0,0.0822,0.575,91.019,2b8fOow8UzyDFAE27YhOZM
156,0.825,0.593,-6.401,0.0988,0.688,0.000161,0.17,0.54,98.078,1rgnBhdG2JDFTbYkYRZAku
157,0.759,0.548,-6.049,0.029,0.0392,0.0,0.0828,0.749,116.967,6v3KW9xbzN5yKLt9YKDYA2
158,0.621,0.601,-5.616,0.148,0.0522,0.0,0.46,0.457,116.735,696DnlkuDOXcMAnKlTgXXK
159,0.501,0.405,-5.679,0.0319,0.751,0.0,0.105,0.446,109.891,7qEHsqek33rTcFNT9PFqLf
160,0.764,0.32,-7.209,0.0546,0.837,0.0,0.0822,0.575,91.019,2b8fOow8UzyDFAE27YhOZM
161,0.825,0.593,-6.401,0.0988,0.688,0.000161,0.17,0.54,98.078,1rgnBhdG2JDFTbYkYRZAku
162,0.621,0.601,-5.616,0.148,0.0522,0.0,0.46,0.457,116.735,696DnlkuDOXcMAnKlTgXXK
163,0.501,0.405,-5.679,0.0319,0.751,0.0,0.105,0.446,109.891,7qEHsqek33rTcFNT9PFqLf
164,0.695,0.762,-3.497,0.0395,0.192,0.00244,0.0863,0.553,120.042,21jGcNKet2qwijlDFuPiPb
165,0.803,0.715,-3.28,0.298,0.295,0.000134,0.0574,0.574,101.085,7k4t7uLgtOxPwTpFmtJNTY
166,0.879,0.703,-4.219,0.0701,0.143,0.0,0.0569,0.788,94.004,6mAN61JH0dzyZpWslS11jy
167,0.721,0.716,-7.037,0.0657,0.0334,0.00084,0.237,0.667,104.994,6cy3ki60hLwimwIje7tALf
168,0.754,0.646,-5.795,0.317,0.152,1.85e-05,0.108,0.429,176.089,0fea68AdmYNygeTGI4RC18
169,0.786,0.808,-3.702,0.0882,0.0846,0.000289,0.0822,0.609,105.027,2ksOAxtIxY8yElEWw8RhgK
170,0.727,0.51,-6.706,0.145,0.492,0.0,0.146,0.586,78.016,5RPewmKIUL2vWtQLI0Qp1F
171,0.825,0.593,-6.401,0.0988,0.688,0.000161,0.17,0.54,98.078,1rgnBhdG2JDFTbYkYRZAku
172,0.58,0.503,-8.658,0.263,0.517,1.26e-05,0.117,0.542,126.588,3EtXiDhRO8psTWs2uY8nyA
173,0.698,0.62,-7.359,0.218,0.5,0.0,0.101,0.4,88.352,2OI0z4fQD8NQPfYf5v6a2E
174,0.826,0.8,-7.392,0.104,0.539,1.93e-06,0.0862,0.596,104.988,6MLQRF8D7LsOvZwkt1UcZP
175,0.803,0.715,-3.28,0.298,0.295,0.000134,0.0574,0.574,101.085,7k4t7uLgtOxPwTpFmtJNTY
176,0.886,0.672,-4.394,0.188,0.0363,8.78e-06,0.101,0.526,91.976,5DxXgozhkPLgrbKFY91w0c
177,0.732,0.644,-4.124,0.132,0.0934,4.54e-06,0.143,0.554,174.1,6Y4PDQv4XjYjHLeLmvyOt0
178,0.786,0.808,-3.702,0.0882,0.0846,0.000289,0.0822,0.609,105.027,2ksOAxtIxY8yElEWw8RhgK
179,0.754,0.646,-5.795,0.317,0.152,1.85e-05,0.108,0.429,176.089,0fea68AdmYNygeTGI4RC18
180,0.803,0.715,-3.28,0.298,0.295,0.000134,0.0574,0.574,101.085,7k4t7uLgtOxPwTpFmtJNTY
181,0.721,0.716,-7.037,0.0657,0.0334,0.00084,0.237,0.667,104.994,6cy3ki60hLwimwIje7tALf
182,0.879,0.703,-4.219,0.0701,0.143,0.0,0.0569,0.788,94.004,6mAN61JH0dzyZpWslS11jy
183,0.786,0.808,-3.702,0.0882,0.0846,0.000289,0.0822,0.609,105.027,2ksOAxtIxY8yElEWw8RhgK
184,0.658,0.901,-2.814,0.0357,0.0478,0.0,0.12,0.708,93.979,6RyaV7owmVU6fzEPE17sF1
185,0.825,0.593,-6.401,0.0988,0.688,0.000161,0.17,0.54,98.078,1rgnBhdG2JDFTbYkYRZAku
186,0.335,0.625,-7.462,0.0386,0.164,0.0,0.0708,0.346,150.277,0bYg9bo50gSsH3LtXe2SQn
187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
188,0.701,0.425,-10.965,0.375,0.328,0.13,0.1,0.562,135.128,2Fxmhks0bxGSBdJ92vM42m
189,0.735,0.478,-12.472,0.0293,0.189,2.48e-06,0.355,0.947,107.682,2FRnf9qhLbvw8fu4IBXx78
190,0.803,0.715,-3.28,0.298,0.295,0.000134,0.0574,0.574,101.085,7k4t7uLgtOxPwTpFmtJNTY
191,0.886,0.672,-4.394,0.188,0.0363,8.78e-06,0.101,0.526,91.976,5DxXgozhkPLgrbKFY91w0c
192,0.754,0.646,-5.795,0.317,0.152,1.85e-05,0.108,0.429,176.089,0fea68AdmYNygeTGI4RC18
193,0.786,0.808,-3.702,0.0882,0.0846,0.000289,0.0822,0.609,105.027,2ksOAxtIxY8yElEWw8RhgK
194,0.879,0.703,-4.219,0.0701,0.143,0.0,0.0569,0.788,94.004,6mAN61JH0dzyZpWslS11jy
195,0.803,0.715,-3.28,0.298,0.295,0.000134,0.0574,0.574,101.085,7k4t7uLgtOxPwTpFmtJNTY
196,0.879,0.703,-4.219,0.0701,0.143,0.0,0.0569,0.788,94.004,6mAN61JH0dzyZpWslS11jy
197,0.728,0.542,-5.195,0.0514,0.259,0.0,0.136,0.637,90.016,1cVlW9WQiGlFdWUXFdFZGh
198,0.754,0.646,-5.795,0.317,0.152,1.85e-05,0.108,0.429,176.089,0fea68AdmYNygeTGI4RC18
199,0.721,0.716,-7.037,0.0657,0.0334,0.00084,0.237,0.667,104.994,6cy3ki60hLwimwIje7tALf
200,0.759,0.548,-6.049,0.029,0.0392,0.0,0.0828,0.749,116.967,6v3KW9xbzN5yKLt9YKDYA2
201,0.634,0.476,-7.714,0.0393,0.84,0.000137,0.079,0.425,184.061,22F7P7QnaVspdf5rKveBaS
202,0.764,0.32,-7.209,0.0546,0.837,0.0,0.0822,0.575,91.019,2b8fOow8UzyDFAE27YhOZM
203,0.825,0.593,-6.401,0.0988,0.688,0.000161,0.17,0.54,98.078,1rgnBhdG2JDFTbYkYRZAku
204,0.789,0.488,-5.662,0.298,0.32,0.0,0.0847,0.29,159.986,2AiZm17zqkV7llT3SHz4Nu
205,0.825,0.593,-6.401,0.0988,0.688,0.000161,0.17,0.54,98.078,1rgnBhdG2JDFTbYkYRZAku
206,0.606,0.715,-5.608,0.173,0.294,0.000133,0.124,0.393,174.049,6416zJN0FGPmh1Ph4BH2h3
207,0.544,0.53,-6.168,0.428,0.345,0.0,0.0981,0.184,90.093,76IVpz47q3ghkxoUeTTEKb
208,0.612,0.704,-4.147,0.372,0.126,0.0,0.569,0.672,96.015,2M39v73rNJmAXUXIW0oagP
209,0.335,0.625,-7.462,0.0386,0.164,0.0,0.0708,0.346,150.277,0bYg9bo50gSsH3LtXe2SQn
210,0.759,0.548,-6.049,0.029,0.0392,0.0,0.0828,0.749,116.967,6v3KW9xbzN5yKLt9YKDYA2
211,0.764,0.32,-7.209,0.0546,0.837,0.0,0.0822,0.575,91.019,2b8fOow8UzyDFAE27YhOZM
212,0.695,0.762,-3.497,0.0395,0.192,0.00244,0.0863,0.553,120.042,21jGcNKet2qwijlDFuPiPb
213,0.704,0.225,-14.454,0.0994,0.902,0.657,0.106,0.243,120.006,3ZCTVFBt2Brf31RLEnCkWJ
214,0.825,0.593,-6.401,0.0988,0.688,0.000161,0.17,0.54,98.078,1rgnBhdG2JDFTbYkYRZAku
215,0.784,0.43,-8.756,0.0364,0.123,0.0,0.0887,0.236,127.087,4TnjEaWOeW0eKTKIEvJyCa
216,0.865,0.438,-8.943,0.0719,0.177,0.0,0.0743,0.695,129.038,2W4yABdLc4Jnds67Poi5Nl
217,0.621,0.601,-5.616,0.148,0.0522,0.0,0.46,0.457,116.735,696DnlkuDOXcMAnKlTgXXK
218,0.456,0.828,-6.225,0.077,0.0244,0.0,0.21,0.313,116.719,421eObjg0DTm2qajJl5OJm
219,0.501,0.57,-6.49,0.0337,0.569,0.0,0.0649,0.311,139.516,2tR5liucorXRwduxr0qEx6
