,Playlist Name,Playlist ID,Name,ID,Rank,Country
142,Poland Top 50,37i9dQZEVXbN6itCcaL3Tt,Brzydkie Rzeczy,6STE4z6PBDVmCsIHejY66L,3,Poland
143,Poland Top 50,37i9dQZEVXbN6itCcaL3Tt,1998 (mam to we krwi),2dvxMlIfGY90Wvw8OSgZoF,4,Poland
144,Poland Top 50,37i9dQZEVXbN6itCcaL3Tt,Last Christmas,2FRnf9qhLbvw8fu4IBXx78,5,Poland
145,Belgium Top 50,37i9dQZEVXbJNSeeHswcKB,Dance Monkey,1rgnBhdG2JDFTbYkYRZAku,1,Belgium
146,Belgium Top 50,37i9dQZEVXbJNSeeHswcKB,Lucid Dreams,285pBltuF7vW8TeWk8hdRR,2,Belgium
147,Belgium Top 50,37i9dQZEVXbJNSeeHswcKB,ROXANNE,696DnlkuDOXcMAnKlTgXXK,3,Belgium
148,Belgium Top 50,37i9dQZEVXbJNSeeHswcKB,everything i wanted,3ZCTVFBt2Brf31RLEnCkWJ,4,Belgium
149,Belgium Top 50,37i9dQZEVXbJNSeeHswcKB,Ride It,2tnVG71enUj33Ic2nFN6kZ,5,Belgium
150,Thailand Top 50,37i9dQZEVXbMnz8KIWsvf9,ทิ้งแต่เก็บ - เพลงประกอบภาพยนตร์ ฮาวทูทิ้ง..ทิ้งอย่างไร ไม่ให้เหลือเธอ,438m0u7h7miwjCdCdDCl9W,1,Thailand
151,Thailand Top 50,37i9dQZEVXbMnz8KIWsvf9,ภาวนา,7IcfEY0IyV4fdALbwJCw3v,2,Thailand
152,Thailand Top 50,37i9dQZEVXbMnz8KIWsvf9,ฝนตกไหม,1ccwCCS7YSclzYibpK0DS4,3,Thailand
153,Thailand Top 50,37i9dQZEVXbMnz8KIWsvf9,แอบดี,1wl5vs3SCMPpHTIR8IW8nJ,4,Thailand
154,Thailand Top 50,37i9dQZEVXbMnz8KIWsvf9,ถ้าฉันเป็นเขา,7adzBs69Rjtj6194UZRWfm,5,Thailand
155,Singapore Top 50,37i9dQZEVXbK4gjvS1FjPY,Memories,2b8fOow8UzyDFAE27YhOZM,1,Singapore
156,Singapore Top 50,37i9dQZEVXbK4gjvS1FjPY,Dance Monkey,1rgnBhdG2JDFTbYkYRZAku,2,Singapore
157,Singapore Top 50,37i9dQZEVXbK4gjvS1FjPY,Señorita,6v3KW9xbzN5yKLt9YKDYA2,3,Singapore
158,Singapore Top 50,37i9dQZEVXbK4gjvS1FjPY,ROXANNE,696DnlkuDOXcMAnKlTgXXK,4,Singapore
159,Singapore Top 50,37i9dQZEVXbK4gjvS1FjPY,Circles,21jGcNKet2qwijlDFuPiPb,5,Singapore
160,Malaysia Top 50,37i9dQZEVXbJlfUljuZExa,Dance Monkey,1rgnBhdG2JDFTbYkYRZAku,1,Malaysia
161,Malaysia Top 50,37i9dQZEVXbJlfUljuZExa,Memories,2b8fOow8UzyDFAE27YhOZM,2,Malaysia
162,Malaysia Top 50,37i9dQZEVXbJlfUljuZExa,ROXANNE,696DnlkuDOXcMAnKlTgXXK,3,Malaysia
163,Malaysia Top 50,37i9dQZEVXbJlfUljuZExa,Someone You Loved,7qEHsqek33rTcFNT9PFqLf,4,Malaysia
164,Malaysia Top 50,37i9dQZEVXbJlfUljuZExa,Circles,21jGcNKet2qwijlDFuPiPb,5,Malaysia
165,Ecuador Top 50,37i9dQZEVXbJlM6nvL1nD1,Tusa,7k4t7uLgtOxPwTpFmtJNTY,1,Ecuador
166,Ecuador Top 50,37i9dQZEVXbJlM6nvL1nD1,Fantasias,6mAN61JH0dzyZpWslS11jy,2,Ecuador
167,Ecuador Top 50,37i9dQZEVXbJlM6nvL1nD1,RITMO (Bad Boys For Life),6cy3ki60hLwimwIje7tALf,3,Ecuador
168,Ecuador Top 50,37i9dQZEVXbJlM6nvL1nD1,Vete,5DxXgozhkPLgrbKFY91w0c,4,Ecuador
169,Ecuador Top 50,37i9dQZEVXbJlM6nvL1nD1,Dance Monkey,1rgnBhdG2JDFTbYkYRZAku,5,Ecuador
170,Portugal Top 50,37i9dQZEVXbKyJS56d1pgi,Louco,5RPewmKIUL2vWtQLI0Qp1F,1,Portugal
171,Portugal Top 50,37i9dQZEVXbKyJS56d1pgi,Dance Monkey,1rgnBhdG2JDFTbYkYRZAku,2,Portugal
172,Portugal Top 50,37i9dQZEVXbKyJS56d1pgi,Essa Saia (feat. Ivandro),2OI0z4fQD8NQPfYf5v6a2E,3,Portugal
173,Portugal Top 50,37i9dQZEVXbKyJS56d1pgi,Hoji N'ka ta Rola,3EtXiDhRO8psTWs2uY8nyA,4,Portugal
174,Portugal Top 50,37i9dQZEVXbKyJS56d1pgi,Vivi Good,6MLQRF8D7LsOvZwkt1UcZP,5,Portugal
175,Panama Top 50,37i9dQZEVXbKypXHVwk1f0,Tusa,7k4t7uLgtOxPwTpFmtJNTY,1,Panama
176,Panama Top 50,37i9dQZEVXbKypXHVwk1f0,Vete,5DxXgozhkPLgrbKFY91w0c,2,Panama
177,Panama Top 50,37i9dQZEVXbKypXHVwk1f0,Si Te Vas,6Y4PDQv4XjYjHLeLmvyOt0,3,Panama
178,Panama Top 50,37i9dQZEVXbKypXHVwk1f0,Fantasias,6mAN61JH0dzyZpWslS11jy,4,Panama
179,Panama Top 50,37i9dQZEVXbKypXHVwk1f0,China,2ksOAxtIxY8yElEWw8RhgK,5,Panama
180,Uruguay Top 50,37i9dQZEVXbMJJi3wgRbAy,Tusa,7k4t7uLgtOxPwTpFmtJNTY,1,Uruguay
181,Uruguay Top 50,37i9dQZEVXbMJJi3wgRbAy,Fantasias,6mAN61JH0dzyZpWslS11jy,2,Uruguay
182,Uruguay Top 50,37i9dQZEVXbMJJi3wgRbAy,RITMO (Bad Boys For Life),6cy3ki60hLwimwIje7tALf,3,Uruguay
183,Uruguay Top 50,37i9dQZEVXbMJJi3wgRbAy,China,2ksOAxtIxY8yElEWw8RhgK,4,Uruguay
