,Country,Artist(s),Song Title,Rank,Source,Album,Genre,Spotify_ID,Country_ID,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
84,UK,The Killers,Mr. Brightside,1.0,LastFM,Hot Fuss,,7oK9VyNzrYvRFo7nQEYkWN,9,0.356,0.924,1,-3.74,0.0808,0.00101,0.0,0.0953,0.232,148.017,222587
85,UK,Toto,Africa,2.0,LastFM,Toto IV,,2374M0fQpWi3dLnB54qaLX,9,0.671,0.373,9,-18.064,0.0323,0.257,7.95e-05,0.0481,0.732,92.717,295893
86,UK,Mariah Carey,All I Want for Christmas Is You,3.0,LastFM,Merry Christmas,,0bYg9bo50gSsH3LtXe2SQn,9,0.335,0.625,7,-7.462,0.0386,0.164,0.0,0.0708,0.346,150.277,241107
87,UK,Nirvana,Smells Like Teen Spirit,4.0,LastFM,Nevermind,,5ghIJDpPoe3CfHMGu71E6T,9,0.502,0.912,1,-4.556,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,301920
88,UK,The White Stripes,Seven Nation Army,5.0,LastFM,Elephant,,7i6r9KotUPQg3ozKKgEPIN,9,0.737,0.463,0,-7.828,0.0792,0.00817,0.447,0.255,0.324,123.881,231733
89,US,Roddy Ricch,The Box,,Apple,Please Excuse Me For Being Antisocial,Hip-Hop/Rap,0nbXyq5TXYPCO7pr3N8S4I,10,0.896,0.586,10,-6.687,0.0559,0.104,0.0,0.79,0.642,116.971,196653
90,US,Roddy Ricch,Start wit Me (feat. Gunna),,Apple,Please Excuse Me For Being Antisocial,Hip-Hop/Rap,5ravc2aiNoYmu9m37diYXW,10,0.924,0.466,4,-9.472,0.244,0.0401,0.0,0.109,0.539,130.038,146656
91,US,Roddy Ricch,Peta (feat. Meek Mill),,Apple,Please Excuse Me For Being Antisocial,Hip-Hop/Rap,4bl1HBZliBuYpFZjWgefE4,10,0.778,0.573,10,-7.339,0.251,0.015,0.0,0.464,0.269,140.114,198849
92,US,Roddy Ricch,Intro,,Apple,Please Excuse Me For Being Antisocial,Hip-Hop/Rap,77KMttn3Lic7ZQKDlPqp8v,10,0.862,0.685,0,-7.699,0.242,0.0342,0.0,0.204,0.672,100.024,172800
93,US,Roddy Ricch,Tip Toe (feat. A Boogie wit da Hoodie),,Apple,Please Excuse Me For Being Antisocial,Hip-Hop/Rap,5j1yOqWONR9T6l43AzJ6Es,10,0.757,0.673,1,-8.513,0.141,0.095,0.0,0.338,0.574,92.958,185806
94,US,The Weeknd,Can't Feel My Face,1.0,LastFM,Beauty Behind the Madness,,22VdIZQfgXJea34mQxlt81,10,0.705,0.769,9,-5.526,0.0426,0.112,0.0,0.105,0.59,107.939,213520
95,US,Drake,Hotline Bling,2.0,LastFM,Views,,0wwPcA6wtMf6HUMpIRdeP7,10,0.891,0.625,2,-7.861,0.0558,0.00261,0.000176,0.0504,0.548,134.967,267067
96,US,Tame Impala,The Less I Know the Better,3.0,LastFM,Currents,,6K4t31amVTZDgR3sKmwUJJ,10,0.64,0.74,4,-4.083,0.0284,0.0115,0.00678,0.167,0.785,116.879,216320
97,US,The Killers,Mr. Brightside,4.0,LastFM,Hot Fuss,,7oK9VyNzrYvRFo7nQEYkWN,10,0.356,0.924,1,-3.74,0.0808,0.00101,0.0,0.0953,0.232,148.017,222587
98,US,Adele,Hello,5.0,LastFM,25,,4sPmO7WMQUAf45kwMOtONw,10,0.481,0.451,5,-6.095,0.0347,0.336,0.0,0.0872,0.289,157.966,295493
