,Country,Name,Artist,Album,Genre,Rank,Source,Spotify ID
116,US,Circles,Post Malone,Hollywood's Bleeding,Hip-Hop/Rap,2,Spotify,21jGcNKet2qwijlDFuPiPb
117,US,Heartless,Diplo,Heartless (feat. Morgan Wallen) - Single,Country,3,Spotify,57vxBYXtHMk6H1aD29V7PU
118,US,All I Want for Christmas Is You,Mariah Carey,Merry Christmas,Holiday,4,Spotify,0bYg9bo50gSsH3LtXe2SQn
119,US,Adore You,Harry Styles,Fine Line,Pop,5,Spotify,1M4qEo4HE3PRaCOM7EXNJq
120,UK,All I Want for Christmas Is You,Mariah Carey,Merry Christmas,Holiday,1,Spotify,0bYg9bo50gSsH3LtXe2SQn
121,UK,Last Christmas,Wham!,Last Christmas - Single,Holiday,2,Spotify,6wn2nmFn3wDuiMldRiuRuL
122,UK,Dance Monkey,Tones and I,The Kids Are Coming - EP,Alternative,3,Spotify,2XU0oxnq2qxCpomAAuJY8K
123,UK,Rockin' Around The Christmas Tree,Brenda Lee,20th Century Masters - The Christmas Collection: The Best of Brenda Lee,Holiday,4,Spotify,2EjXfH91m7f8HiJN1yQg97
124,UK,It's Beginning to Look a Lot like Christmas,Michael Bublé,Christmas,Holiday,5,Spotify,5a1iz510sv2W9Dt1MvFd5R
125,Canada,Dance Monkey,Tones and I,The Kids Are Coming - EP,Alternative,1,Spotify,2XU0oxnq2qxCpomAAuJY8K
126,Canada,ROXANNE,Arizona Zervas,ROXANNE - Single,Hip-Hop/Rap,2,Spotify,696DnlkuDOXcMAnKlTgXXK
127,Canada,All I Want for Christmas Is You,Mariah Carey,Merry Christmas,Holiday,3,Spotify,0bYg9bo50gSsH3LtXe2SQn
128,Canada,Heartless,Diplo,Heartless (feat. Morgan Wallen) - Single,Country,4,Spotify,57vxBYXtHMk6H1aD29V7PU
129,Canada,Circles,Post Malone,Hollywood's Bleeding,Hip-Hop/Rap,5,Spotify,21jGcNKet2qwijlDFuPiPb
130,Hong Kong,Señorita,Shawn Mendes & Camila Cabello,Señorita - Single,Pop,1,Spotify,0TK2YIli7K1leLovkQiNik
131,Hong Kong,Memories,Maroon 5,Memories - Single,Pop,2,Spotify,2b8fOow8UzyDFAE27YhOZM
132,Hong Kong,Circles,Post Malone,Hollywood's Bleeding,Hip-Hop/Rap,3,Spotify,21jGcNKet2qwijlDFuPiPb
133,Hong Kong,everything i wanted,Billie Eilish,everything i wanted - Single,Alternative,4,Spotify,3ZCTVFBt2Brf31RLEnCkWJ
134,Hong Kong,Dance Monkey,Tones and I,The Kids Are Coming - EP,Alternative,5,Spotify,2XU0oxnq2qxCpomAAuJY8K
