,Country,Name,Artist,Album,Genre,Rank,Source,Spotify ID,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
75,UK,Mr. Brightside,The Killers,Hot Fuss,Rock,1,LastFM,7oK9VyNzrYvRFo7nQEYkWN,0.356,0.924,1,-3.74,0.0808,0.00101,0.0,0.0953,0.232,148.017,222587
76,UK,Africa,Toto,Toto IV,Rock,2,LastFM,2374M0fQpWi3dLnB54qaLX,0.671,0.373,9,-18.064,0.0323,0.257,7.95e-05,0.0481,0.732,92.717,295893
77,UK,All I Want for Christmas Is You,Mariah Carey,Merry Christmas,Holiday,3,LastFM,0bYg9bo50gSsH3LtXe2SQn,0.335,0.625,7,-7.462,0.0386,0.164,0.0,0.0708,0.346,150.277,241107
78,UK,Smells Like Teen Spirit,Nirvana,Nevermind,Rock,4,LastFM,5ghIJDpPoe3CfHMGu71E6T,0.502,0.912,1,-4.556,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,301920
79,UK,Seven Nation Army,The White Stripes,Elephant,Alternative,5,LastFM,7i6r9KotUPQg3ozKKgEPIN,0.737,0.463,0,-7.828,0.0792,0.00817,0.447,0.255,0.324,123.881,231733
80,Germany,Smells Like Teen Spirit,Nirvana,Nevermind,Rock,1,LastFM,5ghIJDpPoe3CfHMGu71E6T,0.502,0.912,1,-4.556,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,301920
81,Germany,Africa,Toto,Toto IV,Rock,2,LastFM,2374M0fQpWi3dLnB54qaLX,0.671,0.373,9,-18.064,0.0323,0.257,7.95e-05,0.0481,0.732,92.717,295893
82,Germany,Mr. Brightside,The Killers,Hot Fuss,Rock,3,LastFM,7oK9VyNzrYvRFo7nQEYkWN,0.356,0.924,1,-3.74,0.0808,0.00101,0.0,0.0953,0.232,148.017,222587
83,Germany,Come as You Are,Nirvana,Nevermind,Rock,4,LastFM,4P5KoWXOxwuobLmHXLMobV,0.5,0.824,4,-5.846,0.0388,0.00016,0.00161,0.0916,0.539,120.125,218920
84,Germany,Hello,Adele,25,Pop,5,LastFM,4sPmO7WMQUAf45kwMOtONw,0.481,0.451,5,-6.095,0.0347,0.336,0.0,0.0872,0.289,157.966,295493
85,US,Can't Feel My Face,The Weeknd,Beauty Behind the Madness,R&B/Soul,1,LastFM,22VdIZQfgXJea34mQxlt81,0.705,0.769,9,-5.526,0.0426,0.112,0.0,0.105,0.59,107.939,213520
86,US,Hotline Bling,Drake,Views,Hip-Hop/Rap,2,LastFM,0wwPcA6wtMf6HUMpIRdeP7,0.891,0.625,2,-7.861,0.0558,0.00261,0.000176,0.0504,0.548,134.967,267067
87,US,The Less I Know the Better,Tame Impala,Currents,Alternative,3,LastFM,6K4t31amVTZDgR3sKmwUJJ,0.64,0.74,4,-4.083,0.0284,0.0115,0.00678,0.167,0.785,116.879,216320
88,US,Mr. Brightside,The Killers,Hot Fuss,Rock,4,LastFM,7oK9VyNzrYvRFo7nQEYkWN,0.356,0.924,1,-3.74,0.0808,0.00101,0.0,0.0953,0.232,148.017,222587
89,US,Hello,Adele,25,Pop,5,LastFM,4sPmO7WMQUAf45kwMOtONw,0.481,0.451,5,-6.095,0.0347,0.336,0.0,0.0872,0.289,157.966,295493
90,Germany,KEIN SCHLAF,LGM,Kein Schlaf - Single,Hip-Hop/Rap,1,Spotify,6416zJN0FGPmh1Ph4BH2h3,0.606,0.715,11,-5.608,0.173,0.294,0.000133,0.124,0.393,174.049,200493
91,Germany,COLT,Afroman,The Good Times,Hip-Hop/Rap,2,Spotify,1ACZpHI5vZ5Ea4xGlkdGWM,0.927,0.367,9,-7.797,0.382,0.325,0.0,0.132,0.576,99.053,328667
92,Germany,Roller,April Wine,Classic Masters: April Wine (Remastered),Rock,3,Spotify,69M9QCMsCQ5MLsw7BBW0rL,0.8,0.562,2,-7.366,0.0961,0.0307,0.0,0.243,0.147,132.081,276349
93,Germany,Dance Monkey,Tones and I,The Kids Are Coming - EP,Alternative,4,Spotify,2XU0oxnq2qxCpomAAuJY8K,0.824,0.588,6,-6.4,0.0924,0.692,0.000104,0.149,0.513,98.027,209438
